"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","79","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","","","","","","","","","","","","","",""
"","","","","","instructions","1","2124","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","[{""page_index"":0,""viewing_time"":2040}]","2041","","","","","","","","","","","",""
"","","","","","instructions","2","3314","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","[{""page_index"":0,""viewing_time"":1188}]","1188","","","","","","","","","","","",""
"","","","","","audio-button-response","3","13522","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","","10197","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","15212","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","[{""page_index"":0,""viewing_time"":1684}]","1685","","","","","","","","","","","",""
"","","","","","audio-button-response","5","21007","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","","5707","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","28690","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","","7616","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","33360","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","","4608","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","38048","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","","4619","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","42807","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq002_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","86ss5vo4ufl","","4683","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
