"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","119","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","","","","","","","","","","","","",""
"","","","","","instructions","1","1133","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","[{""page_index"":0,""viewing_time"":1013}]","1013","","","","","","","","","","","",""
"","","","","","instructions","2","8420","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","[{""page_index"":0,""viewing_time"":7287}]","7287","","","","","","","","","","","",""
"","","","","","audio-button-response","3","19620","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","11160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","60091","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","40480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","68356","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","[{""page_index"":0,""viewing_time"":8264}]","8264","","","","","","","","","","","",""
"","","","","","audio-button-response","6","73525","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","4069","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","77548","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","3491","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","82236","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","4240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","85164","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","2461","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","87724","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","2101","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","91740","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","3560","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","12","93565","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","1823","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","128795","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","[{""page_index"":0,""viewing_time"":3206},{""page_index"":1,""viewing_time"":12089},{""page_index"":2,""viewing_time"":15608},{""page_index"":3,""viewing_time"":4328}]","35230","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","128846","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","134924","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq075_len120_s70_isi-1p0_0p0_16p0.json","10.34","true","9fxllk42nxc","","4749","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
