"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","146","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","","","","","","","","","","","","","",""
"","","","","","instructions","1","1427226","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","[{""page_index"":0,""viewing_time"":70787}]","70789","","","","","","","","","","","",""
"","","","","","instructions","2","1440457","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","[{""page_index"":0,""viewing_time"":13227}]","13228","","","","","","","","","","","",""
"","","","","","audio-button-response","3","1466987","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","","26448","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","1470509","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","","3520","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","1477987","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","","7477","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","1481329","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","","3339","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","1491387","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","","10059","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","1510879","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","[{""page_index"":0,""viewing_time"":19491}]","19491","","","","","","","","","","","",""
"","","","","","audio-button-response","9","1516578","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq071_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","d1jdgrx1fg6","","4912","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
