"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","153","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","","","","","","","","","","","","","",""
"","","","","","instructions","1","2814","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","[{""page_index"":0,""viewing_time"":2660}]","2661","","","","","","","","","","","",""
"","","","","","instructions","2","6863","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","[{""page_index"":0,""viewing_time"":4048}]","4048","","","","","","","","","","","",""
"","","","","","audio-button-response","3","15329","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","","8371","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","22701","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","[{""page_index"":0,""viewing_time"":7370}]","7371","","","","","","","","","","","",""
"","","","","","audio-button-response","5","36916","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","","13419","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","42787","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","","5000","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","48243","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","","4640","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","54067","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","","4861","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","59401","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq096_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","hvegfh89hcr","","4349","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
