"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","315","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","","","","","","","","","","","","",""
"","","","","","instructions","1","7973","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","[{""page_index"":0,""viewing_time"":7657}]","7657","","","","","","","","","","","",""
"","","","","","instructions","2","15405","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","[{""page_index"":0,""viewing_time"":7432}]","7432","","","","","","","","","","","",""
"","","","","","audio-button-response","3","50676","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","34941","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","64764","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","14011","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","68220","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","3459","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","84876","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","[{""page_index"":0,""viewing_time"":16656}]","16656","","","","","","","","","","","",""
"","","","","","audio-button-response","7","92285","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","4611","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","99908","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","4120","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","106853","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","4680","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","114420","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","4280","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","120413","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","4240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","129117","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","4091","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","13","131661","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","","2543","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","14","192997","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq049_len120_s70_isi-1p0_0p0_16p0.json","10.69","true","k70ox6v6s4l","[{""page_index"":0,""viewing_time"":8018},{""page_index"":1,""viewing_time"":12229},{""page_index"":2,""viewing_time"":35457},{""page_index"":3,""viewing_time"":5632}]","61335","","","","","","","","","","","",""
