"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","490","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","","","","","","","","","","","","",""
"","","","","","instructions","1","3119","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","[{""page_index"":0,""viewing_time"":2629}]","2629","","","","","","","","","","","",""
"","","","","","instructions","2","14166","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","[{""page_index"":0,""viewing_time"":11046}]","11047","","","","","","","","","","","",""
"","","","","","audio-button-response","3","24765","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","10275","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","59054","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","34244","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","69336","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","10281","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","97765","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","28427","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","110478","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","12713","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","117385","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","6908","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","9","123102","0.0-3.6-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","5718","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","10","126858","0.0-3.7-0.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","3756","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","11","138018","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","[{""page_index"":0,""viewing_time"":11159}]","11160","","","","","","","","","","","",""
"","","","","","audio-button-response","12","143373","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","4470","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","148705","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","4656","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","14","154354","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","4917","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","15","159562","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","16","164602","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","4371","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","17","169777","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","4389","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","18","174041","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","4262","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","19","273412","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","[{""page_index"":0,""viewing_time"":3430},{""page_index"":1,""viewing_time"":29678},{""page_index"":2,""viewing_time"":55993},{""page_index"":3,""viewing_time"":10270}]","99371","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","273475","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","21","280927","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","6089","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","22","280982","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","23","287789","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","5875","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","24","287851","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","25","290726","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","2873","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","26","290777","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","27","296329","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq079_len120_s70_isi-1p0_0p0_16p0.json","11.42","true","mxeblzlnrvk","","4499","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","2","demo","","","0","","","","","",""
