"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","544","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","","","","","","","","","","","","",""
"","","","","","instructions","1","3631","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","[{""page_index"":0,""viewing_time"":3082}]","3083","","","","","","","","","","","",""
"","","","","","instructions","2","8530","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","[{""page_index"":0,""viewing_time"":4897}]","4898","","","","","","","","","","","",""
"","","","","","audio-button-response","3","19209","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","10162","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","24261","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","5050","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","27189","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","2929","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","35184","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","[{""page_index"":0,""viewing_time"":7994}]","7994","","","","","","","","","","","",""
"","","","","","audio-button-response","7","46557","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","6351","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","58016","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","7010","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","67887","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","4580","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","76664","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","4981","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","84794","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq014_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","n0ghdgm05co","","4618","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
