"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","880","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","","","","","","","","","","","","",""
"","","","","","instructions","1","19804","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","[{""page_index"":0,""viewing_time"":18923}]","18924","","","","","","","","","","","",""
"","","","","","instructions","2","36270","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","[{""page_index"":0,""viewing_time"":16464}]","16465","","","","","","","","","","","",""
"","","","","","audio-button-response","3","119589","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","82192","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","126428","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","6469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","129926","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","3499","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","133578","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","3651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","139727","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","6149","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","153963","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","14232","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","9","159599","0.0-3.6-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","5640","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","10","165082","0.0-3.7-0.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","5480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","11","179058","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","[{""page_index"":0,""viewing_time"":13974}]","13974","","","","","","","","","","","",""
"","","","","","audio-button-response","12","186707","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","6531","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","196627","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","9040","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","14","202967","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","5440","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","15","209266","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","5429","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","16","217349","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","7181","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","17","223462","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","5299","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","18","232502","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","9039","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","19","334930","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","[{""page_index"":0,""viewing_time"":5637},{""page_index"":1,""viewing_time"":56452},{""page_index"":2,""viewing_time"":35418},{""page_index"":3,""viewing_time"":4919}]","102426","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","334985","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","21","340657","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","4328","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","22","340711","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","23","345302","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","3619","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","24","345354","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq009_len120_s70_isi-1p0_0p0_16p0.json","11.25","true","p201betkrlx","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
