"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","117","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","","","","","","","","","","","","","",""
"","","","","","instructions","1","2563","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","[{""page_index"":0,""viewing_time"":2445}]","2445","","","","","","","","","","","",""
"","","","","","instructions","2","10205","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","[{""page_index"":0,""viewing_time"":7642}]","7642","","","","","","","","","","","",""
"","","","","","audio-button-response","3","25079","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","","14872","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","30688","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","","5608","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","35165","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","","4472","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","36898","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","","1728","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","45350","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","[{""page_index"":0,""viewing_time"":8452}]","8452","","","","","","","","","","","",""
"","","","","","audio-button-response","8","50609","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","","4571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","55454","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq018_len120_s70_isi-1p0_0p0_16p0.json","11.04","true","u8r9regrvwg","","4328","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
