"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","54","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","","","","","","","","","","","","","",""
"","","","","","instructions","1","2162","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","[{""page_index"":0,""viewing_time"":2108}]","2108","","","","","","","","","","","",""
"","","","","","instructions","2","8182","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","[{""page_index"":0,""viewing_time"":6020}]","6020","","","","","","","","","","","",""
"","","","","","audio-button-response","3","31537","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","","23331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","40310","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","","8781","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","44713","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","49064","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","","4349","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","53248","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","","4179","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","60409","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","[{""page_index"":0,""viewing_time"":7161}]","7161","","","","","","","","","","","",""
"","","","","","audio-button-response","9","65549","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq090_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","uq7xdmtxz75","","4731","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
