"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","452","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","","","","","","","","","","","","","",""
"","","","","","instructions","1","3590","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","[{""page_index"":0,""viewing_time"":3137}]","3137","","","","","","","","","","","",""
"","","","","","instructions","2","7258","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","[{""page_index"":0,""viewing_time"":3667}]","3667","","","","","","","","","","","",""
"","","","","","audio-button-response","3","12325","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","","5021","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","16465","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","","4131","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","106232","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","","86629","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","120116","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","","13789","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","131766","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","","11651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","138421","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","[{""page_index"":0,""viewing_time"":6653}]","6653","","","","","","","","","","","",""
"","","","","","audio-button-response","9","146818","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","","5011","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","154819","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq043_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","xdnucb489uv","","5211","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
